Boundary Name,Boundary Type,Finish Type,Construction Type,Insulation Details,Received From,Assembly R Value
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-15",none,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_national_300 - bldg0000049,15.02116402
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",none,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_national_300 - bldg0000280,17.41717791
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",none,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_national_300 - bldg0000009,9.420939107
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",none,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000023,4.021246459
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",stucco,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_national_300 - bldg0000013,12.62058235
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",stucco,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_national_300 - bldg0000279,15.2184401
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",stucco,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000035,17.6171269
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",stucco,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000215,9.620467638
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",stucco,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000033,4.221561338
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000496,13.01994955
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000014,15.62035763
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000089,18.01967629
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_national_300 - bldg0000165,10.02117896
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, Uninsulated",vinyl siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000298,4.623778502
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",wood siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000348,13.8218111
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",wood siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000450,16.41989589
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-19",wood siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000050,18.82001989
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",wood siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000116,10.82142176
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",wood siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000251,5.423113658
Exterior Wall,"WoodStud, aluminum siding, R-11",aluminum siding,WoodStud,R-11,res3.1_ochre_500 - bldg0000188,10.02117896
Exterior Wall,"WoodStud, aluminum siding, R-15",aluminum siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000025,11.82177806
Exterior Wall,"WoodStud, aluminum siding, R-19",aluminum siding,WoodStud,R-19,res3.1_ochre_500 - bldg0000022,15.12117177
Exterior Wall,"WoodStud, aluminum siding, R-7",aluminum siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000065,8.421833284
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",aluminum siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000052,3.123212321
Exterior Wall,"WoodStud, asbestos siding, R-11",asbestos siding,WoodStud,R-11,res3.1_ochre_500 - bldg0000034,10.02117896
Exterior Wall,"WoodStud, asbestos siding, R-15",asbestos siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000009,11.82177806
Exterior Wall,"WoodStud, asbestos siding, R-19",asbestos siding,WoodStud,R-19,res3.1_ochre_500 - bldg0000013,15.12117177
Exterior Wall,"WoodStud, asbestos siding, R-7",asbestos siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000002,8.421833284
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",asbestos siding,WoodStud,Uninsulated,res3.1_ochre_500 - bldg0000011,3.123212321
Exterior Wall,"WoodStud, brick veneer, R-11",brick veneer,WoodStud,R-11,res3.1_national_300 - bldg0000019,10.12121212
Exterior Wall,"WoodStud, brick veneer, R-15",brick veneer,WoodStud,R-15,res3.1_national_300 - bldg0000024,11.92105816
Exterior Wall,"WoodStud, brick veneer, R-19",brick veneer,WoodStud,R-19,res3.1_national_300 - bldg0000011,15.2184401
Exterior Wall,"WoodStud, brick veneer, R-7",brick veneer,WoodStud,R-7,res3.1_national_300 - bldg0000149,8.521686928
Exterior Wall,"WoodStud, brick veneer, Uninsulated",brick veneer,WoodStud,Uninsulated,res3.1_national_300 - bldg0000020,3.222474461
Exterior Wall,"WoodStud, composite shingle siding, R-11",composite shingle siding,WoodStud,R-11,res3.1_national_300 - bldg0000102,10.02117896
Exterior Wall,"WoodStud, composite shingle siding, R-15",composite shingle siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000258,11.82177806
Exterior Wall,"WoodStud, composite shingle siding, R-19",composite shingle siding,WoodStud,R-19,res3.1_national_300 - bldg0000192,15.12117177
Exterior Wall,"WoodStud, composite shingle siding, R-7",composite shingle siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000021,8.421833284
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",composite shingle siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000179,3.123212321
Exterior Wall,"WoodStud, fiber cement siding, R-11",fiber cement siding,WoodStud,R-11,res3.1_ochre_500 - bldg0000101,9.620467638
Exterior Wall,"WoodStud, fiber cement siding, R-15",fiber cement siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000033,11.41995173
Exterior Wall,"WoodStud, fiber cement siding, R-19",fiber cement siding,WoodStud,R-19,res3.1_ochre_500 - bldg0000186,14.72128597
Exterior Wall,"WoodStud, fiber cement siding, R-7",fiber cement siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000031,8.020906908
Exterior Wall,"WoodStud, fiber cement siding, Uninsulated",fiber cement siding,WoodStud,Uninsulated,res3.1_ochre_500 - bldg0000006,2.721955896
Exterior Wall,"WoodStud, stucco, R-11",stucco,WoodStud,R-11,res3.1_national_300 - bldg0000010,9.620467638
Exterior Wall,"WoodStud, stucco, R-15",stucco,WoodStud,R-15,res3.1_ochre_500 - bldg0000030,11.41995173
Exterior Wall,"WoodStud, stucco, R-19",stucco,WoodStud,R-19,res3.1_national_300 - bldg0000014,14.72128597
Exterior Wall,"WoodStud, stucco, R-7",stucco,WoodStud,R-7,res3.1_national_300 - bldg0000181,8.020906908
Exterior Wall,"WoodStud, stucco, Uninsulated",stucco,WoodStud,Uninsulated,res3.1_national_300 - bldg0000022,2.721955896
Exterior Wall,"WoodStud, vinyl siding, R-11",vinyl siding,WoodStud,R-11,res3.1_national_300 - bldg0000006,10.02117896
Exterior Wall,"WoodStud, vinyl siding, R-15",vinyl siding,WoodStud,R-15,res3.1_national_300 - bldg0000063,11.82177806
Exterior Wall,"WoodStud, vinyl siding, R-19",vinyl siding,WoodStud,R-19,res3.1_national_300 - bldg0000173,15.12117177
Exterior Wall,"WoodStud, vinyl siding, R-7",vinyl siding,WoodStud,R-7,res3.1_national_300 - bldg0000101,8.421833284
Exterior Wall,"WoodStud, vinyl siding, Uninsulated",vinyl siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000017,3.123212321
Exterior Wall,"WoodStud, wood siding, R-11",wood siding,WoodStud,R-11,res3.1_national_300 - bldg0000002,10.82142176
Exterior Wall,"WoodStud, wood siding, R-15",wood siding,WoodStud,R-15,res3.1_national_300 - bldg0000016,12.62058235
Exterior Wall,"WoodStud, wood siding, R-19",wood siding,WoodStud,R-19,res3.1_national_300 - bldg0000012,15.91813849
Exterior Wall,"WoodStud, wood siding, R-7",wood siding,WoodStud,R-7,res3.1_national_300 - bldg0000004,9.220526145
Exterior Wall,"WoodStud, wood siding, Uninsulated",wood siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000003,3.921270718
Floor,2ft R10 Exterior,,,2ft R10 Exterior,Minimal_slab_2ftR10_ext,10.01385352
Floor,"2ft R10 Perimeter, R5 Gap",,,2ft R10 Perimeter,Minimal_slab_2ftR10_R5G,8.320862382
Floor,2ft R5 Exterior,,,2ft R5 Exterior,Minimal_slab_2ftR5_ext,8.546745004
Floor,"2ft R5 Perimeter, R5 Gap",,,2ft R5 Perimeter,Minimal_slab_2ftR5_R5G,7.889094708
Floor,"4ft R10 Perimeter, R5 Gap",,,4ft R10 Perimeter,Minimal_slab_4ftR10_R5G,9.981089987
Floor,4ft R5 Exterior,,,4ft R5 Exterior,Minimal_slab_4ftR5_ext (Denver),10.751293
Floor,"4ft R5 Perimeter, R5 Gap",,,4ft R5 Perimeter,Minimal_slab_4ftR5_R5G,9.008391205
Floor,Minimal,,,Minimal,Fully_minimal (OLD),500.4958996
Floor,"R10 Whole Slab, R5 Gap",,,R10 Whole Slab,Minimal_slab_wholeR10_R5G,14.84253284
Floor,Uninsulated,,,Uninsulated,Minimal_slab_unins,5.508984723
Foundation Ceiling,Ceiling R-13,,,Ceiling R-13,res3.1_national_300 - bldg0000069,15.9584036
