Boundary Name,Boundary Type,Construction Type,Insulation Details,Material Name,Thickness (m),Conductivity (W/m-K),Density (kg/m^3),Specific Heat (kJ/kg-K),Resistance (m^2-K/W),Capacitance (kJ/m^2-K),Received From,Specific Heat (J/kg-K)
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",,,WALL RIGID INS,0.0509,0.029,32.04,,1.731,1.98020999628,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.056,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, Uninsulated",,,COMPOSITE SHINGLE SIDING,0.0025,0.163,1121.4,,0.01561,4.108389075,,1465.45
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, Uninsulated",,,WALL RIGID INS,0.0123,0.029,32.04,,0.4197,0.47851832916,,1214.23
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, Uninsulated",,,CONCRETE BLOCK,0.1524,0.745,1892.443,,0.2044,241.80758636145725,,838.421
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, Uninsulated",,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",,,WALL RIGID INS,0.0231,0.029,32.04,,0.7862,0.8986807645199999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",,,WALL RIGID INS,0.0365,0.029,32.04,,1.242,1.4199934157999998,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",,,WALL RIGID INS,0.0489,0.029,32.04,,1.663,1.90240213788,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.055,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",,,WALL RIGID INS,0.0077,0.029,32.04,,0.2612,0.29956025484,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.049,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",,,WALL RIGID INS,0.0232,0.029,32.04,,0.7881,0.9025711574399998,,1214.23
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-7",,,WALL RIGID INS,0.0077,0.029,32.04,,0.2632,0.29956025484,,1214.23
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.048,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",,,WALL RIGID INS,0.0231,0.029,32.04,,0.784,0.8986807645199999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",,,WALL RIGID INS,0.0365,0.029,32.04,,1.24,1.4199934157999998,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",,,WALL RIGID INS,0.0489,0.029,32.04,,1.661,1.90240213788,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.055,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",,,STUCCO,0.0254,0.649,1281.6,,0.03913,28.622559772799992,,879.27
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",,,WALL RIGID INS,0.0076,0.029,32.04,,0.259,0.29566986192,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.049,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, Uninsulated",,,STUCCO,0.0025,0.649,1281.6,,0.003913,2.8171810799999992,,879.27
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, Uninsulated",,,WALL RIGID INS,0.0106,0.029,32.04,,0.3612,0.41238164952,,1214.23
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, Uninsulated",,,CONCRETE BLOCK,0.1524,0.746,1892.443,,0.2042,241.80758636145725,,838.421
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, Uninsulated",,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",,,WALL RIGID INS,0.0231,0.029,32.04,,0.7867,0.8986807645199999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.052,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",,,WALL RIGID INS,0.0366,0.029,32.04,,1.243,1.42388380872,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.054,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",,,WALL RIGID INS,0.049,0.029,32.04,,1.664,1.9062925308,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.056,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",,,VINYL SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",,,WALL RIGID INS,0.0077,0.029,32.04,,0.2615,0.29956025484,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",,,CONCRETE BLOCK,0.2032,0.194,1794.881,,1.049,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",,,VINYL SIDING,0.0025,0.089,177.822,,0.0284,0.46533794625,,1046.75
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",,,WALL RIGID INS,0.012,0.029,32.04,,0.4069,0.4668471503999999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",,,CONCRETE BLOCK,0.1524,0.745,1892.443,,0.2044,241.80758636145725,,838.421
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",,,WALL RIGID INS,0.0231,0.029,32.04,,0.7854,0.8986807645199999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.053,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",,,WALL RIGID INS,0.0365,0.029,32.04,,1.241,1.4199934157999998,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",,,CONCRETE BLOCK,0.2032,0.193,1794.881,,1.055,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",,,WOOD SIDING,0.0254,0.102,544.68,,0.248,16.219450537919997,,1172.36
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",,,WALL RIGID INS,0.0489,0.029,32.04,,1.663,1.90240213788,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",,,CONCRETE BLOCK,0.2032,0.192,1794.881,,1.056,308.556614241392,,846.01
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",,,WOOD SIDING,0.0025,0.102,544.68,,0.0248,1.596402612,,1172.36
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",,,WALL RIGID INS,0.0162,0.029,32.04,,0.5509,0.63024365304,,1214.23
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",,,CONCRETE BLOCK,0.1524,0.744,1892.443,,0.2049,241.80758636145725,,838.421
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Exterior Wall,Minimal,,Minimal,WOOD SIDING,0.0025,0.102,544.68,1172.36,0.0248,1.596402612,Fully_minimal (Denver),
Exterior Wall,Minimal,,Minimal,WALL STUD AND CAVITY,0.0889,0.001,50.327,1063.81,87.85,4.759560726,Fully_minimal (Denver),
Exterior Wall,Minimal,,Minimal,GYPSUM BOARD,0.0025,0.16,801.0,837.4,0.0159,1.6768935,Fully_minimal (Denver),
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",,,WALL LAYER,0.2032,0.293,1762.2,,0.6944,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.182,1762.2,,1.117,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",,,ALUMINUM SIDING,0.0095,0.089,177.822,,0.1065,1.76828419575,,1046.75
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",,,WALL LAYER,0.2032,0.392,1762.2,,0.5183,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.611,1762.2,,0.3326,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",,,WALL LAYER,0.2032,0.257,1762.2,,0.7904,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.168,1762.2,,1.213,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",,,WALL LAYER,0.2032,0.13,1762.2,,1.565,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",,,ASBESTOS SIDING,0.0063,0.606,1899.972,,0.01048,12.028236339168002,,1004.88
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",,,WALL LAYER,0.2032,0.331,1762.2,,0.6143,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",,,WALL LAYER,0.2032,0.668,1762.2,,0.304,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",,,WALL LAYER,0.2032,0.172,1762.2,,1.184,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",,,COMPOSITE SHINGLE SIDING,0.0063,0.163,1121.4,,0.03903,10.353140469,,1465.45
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",,,WALL LAYER,0.2032,0.347,1762.2,,0.5858,284.8626186912,,795.53
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",,,FIBER CEMENT SIDING,0.0095,0.258,347.634,,0.03689,3.31863931224,,1004.88
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",,,WALL RIGID INS,0.0518,0.029,32.04,,1.761,2.01522353256,,1214.23
